nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
4,4,624,0.3333333333333333,0.6,0,-0.3333333333333333,0.33333333333333337,0,4
5,8,627,0.4,0.7894736842105263,-0.2,-0.4100721936197327,0.18687063686046268,NA,5
6,12,630,0.4,0.8461538461538461,-0.16666666666666674,NA,0.3545741021932805,0.027027027027026935,6
6,7,637,0.23333333333333334,0.46153846153846156,-0.5217391304347827,0.30641293851417134,-0.46333333333333254,-0.029411764705882387,6
6,7,647,0.23333333333333334,0.42857142857142855,-0.16666666666666635,-0.25819888974716,0.2581988897471592,0,6
6,12,650,0.4,0.7894736842105263,0.2,-0.08433734939758739,0.09759000729485333,-0.10204081632653057,6
6,10,652,0.33333333333333337,0.75,-0.025641025641025664,NA,-0.09094244305125351,-0.08695652173913046,6
6,10,680,0.33333333333333337,0.75,-0.1764705882352943,-0.11301058393680166,-0.0075486425986924875,-0.0989010989010989,6
6,12,682,0.4,0.8461538461538461,0.08695652173913046,0.09449111825230742,-0.07559289460184535,0,6
5,10,683,0.5,1,-0.1764705882352943,-0.20515843995851693,0.00854017447671418,0,5
6,8,685,0.26666666666666666,0.5,0.09090909090909091,-0.1889822365046136,0.21724688654041074,-0.09090909090909091,6
6,10,691,0.33333333333333337,0.75,-0.04477611940298495,-0.20615451887652725,-0.05688801239885745,-0.09090909090909079,6
4,5,697,0.4166666666666667,0.75,0,-0.32732683535398827,0.1666666666666668,-0.08695652173913046,4
5,10,708,0.5,1,-0.19999999999999996,NA,NA,-0.14285714285714282,5
6,11,710,0.36666666666666664,0.75,-0.17857142857142846,0.14877095408944604,-0.012287274220144547,0,6
4,4,711,0.3333333333333333,0.6,NA,0.33333333333333337,-0.33333333333333337,0,4
6,13,714,0.4333333333333333,0.8666666666666667,-0.20930232558139536,NA,NA,0,6
6,12,716,0.4,0.8461538461538461,-0.24999999999999975,-0.07559289460184604,0.132195100642938,-0.10204081632653066,6
6,15,718,0.5,1,-0.11940298507462688,-0.06131393394849336,-0.34942651589438706,0,6
6,8,727,0.26666666666666666,0.5,-0.5,0.29814239699997197,-0.14907119849998599,0,6
6,10,739,0.33333333333333337,0.6923076923076923,0.11764705882352937,0.21139451861119857,-0.3654249634827986,NA,6
