id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
172,5,NA,1_1_12,0,FALSE,FALSE,TRUE,1,574,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
172,5,NA,1_1_12,0,FALSE,FALSE,TRUE,4,vero1_1_12,NA,NA,NA,NA,NA,6,4,6,NA,FALSE,5,5,6,NA,FALSE
226,4,NA,2_2_12,0,TRUE,TRUE,TRUE,1,769 (840),6,7,5,1,TRUE,7,7,6,1,TRUE,7,7,6,1,TRUE
226,4,NA,2_2_12,0,TRUE,TRUE,TRUE,2,685,6,7,5,1,TRUE,7,7,6,1,TRUE,7,7,6,1,TRUE
226,4,NA,2_2_12,0,TRUE,TRUE,TRUE,4,vero2_2_12,NA,NA,NA,NA,NA,3,2,1,1,FALSE,2,2,1,1,FALSE
769 (840),5,NA,2_2_12,0,TRUE,TRUE,TRUE,1,226,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
769 (840),5,NA,2_2_12,0,TRUE,TRUE,TRUE,2,685,6,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
769 (840),5,NA,2_2_12,0,TRUE,TRUE,TRUE,4,vero2_2_12,NA,NA,NA,NA,NA,5,2,3,3,FALSE,5,3,3,3,FALSE
685,4,NA,2_2_12,0,TRUE,TRUE,TRUE,1,226,7,6,6,NA,TRUE,7,6,7,NA,TRUE,7,6,7,NA,TRUE
685,4,NA,2_2_12,0,TRUE,TRUE,TRUE,2,769 (840),7,6,6,NA,TRUE,7,6,7,NA,TRUE,7,6,7,NA,TRUE
685,4,NA,2_2_12,0,TRUE,TRUE,TRUE,4,vero2_2_12,NA,NA,NA,NA,NA,1,NA,NA,7,FALSE,NA,NA,NA,6,FALSE
428,4,NA,2_3_12,0,TRUE,TRUE,TRUE,1,140,5,6,6,1,FALSE,7,7,7,NA,FALSE,7,7,7,NA,FALSE
