PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
656,4,75,15,45,18,11,27,16,0.981856969,0.985403106,0.980003859,17,42,32,14,28,21,0.984044096,0.987875857,0.983912648,68,30,62,50,38,32
660,4,75,3,8,5,3,8,5,0.982798321,0.97832864,0.962969753,17,42,32,14,28,21,0.984044096,0.987875857,0.983912648,40,66,46,50,38,32
686,4,75,7,8,6,6,8,4,0.978971963,0.98119469,0.975022915,17,42,32,14,28,21,0.984044096,0.987875857,0.983912648,40,64,52,50,38,32
501,4,74,15,8,12,13,7,11,0.983794249,0.972194288,0.977085243,23,26,21,17,19,15,0.984287579,0.984845319,0.985388921,60,70,74,52,32,64
651,4,74,16,11,11,13,9,9,0.973972925,0.981642653,0.975186592,23,26,21,17,19,15,0.984287579,0.984845319,0.985388921,46,72,76,52,32,64
268,4,73,7,22,2,4,16,2,0.978500979,0.98461786,0.943629698,22,24,21,15,20,14,0.985550492,0.984670929,0.983593901,62,66,92,24,36,42
315,4,73,15,13,11,13,11,9,0.981985643,0.985679807,0.985891057,22,24,21,15,20,14,0.985550492,0.984670929,0.983593901,24,64,74,24,36,42
329,4,73,5,5,9,4,5,8,0.978138968,0.976347546,0.979605866,22,24,21,15,20,14,0.985550492,0.984670929,0.983593901,58,78,76,24,36,42
255,4,72,15,25,15,11,15,11,0.975213328,0.983284169,0.982462573,17,23,18,13,17,14,0.981767119,0.984610756,0.985114414,56,92,68,48,68,74
263,4,72,5,25,6,5,14,5,0.965948801,0.985599356,0.980369691,17,23,18,13,17,14,0.981767119,0.984610756,0.985114414,45,68,78,48,68,74
498,4,71,9,31,9,9,22,6,0.972368956,0.986423974,0.986964049,27,37,32,19,26,21,0.98532457,0.986748085,0.986921444,46,98,80,34,60,76
664,4,71,16,16,14,13,14,12,0.981021584,0.981384643,0.988299995,27,37,32,19,26,21,0.98532457,0.986748085,0.986921444,44,58,76,34,60,76
928,4,71,8,28,13,8,17,10,0.974857781,0.984821668,0.980927871,27,37,32,19,26,21,0.98532457,0.986748085,0.986921444,58,84,82,34,60,76
193,4,70,5,18,3,5,12,3,0.971231207,0.982264317,0.937366331,16,21,14,13,15,9,0.982666696,0.985547736,0.980861389,45,60,68,38,40,50
272,4,70,7,6,5,7,5,4,0.970801649,0.972110485,0.970577452,16,21,14,13,15,9,0.982666696,0.985547736,0.980861389,58,76,72,38,40,50
705,4,70,8,19,8,7,13,7,0.980902072,0.98115372,0.979777727,16,21,14,13,15,9,0.982666696,0.985547736,0.980861389,40,44,56,38,40,50
938,1,19,3,3,3,3,2,3,0.974671543,0.964065433,0.961350443,39,42,33,25,25,18,0.988064155,0.989938464,0.98672071,72,84,50,36,34,28
241,1,18,6,11,7,6,8,5,0.973723419,0.983373559,0.982813932,23,24,23,18,17,17,0.979304986,0.983543597,0.983553814,58,66,64,88,34,68
906,2,54,6,4,7,5,3,6,0.981482557,0.960579244,0.973877177,16,16,11,11,13,10,0.98490613,0.987095713,0.981847134,40,82,90,36,78,84
249,1,52,3,3,3,3,2,3,0.958417987,0.98659158,0.960892148,18,20,17,15,16,14,0.982289161,0.985025129,0.983014862,92,64,88,54,74,74
262,1,51,17,5,4,12,4,3,0.985585663,0.974188791,0.971738466,24,22,28,16,15,16,0.985492869,0.984640501,0.983754929,54,62,72,54,36,40
773,1,48,18,13,15,12,11,13,0.981086772,0.977142587,0.983558662,27,29,26,17,23,18,0.982238649,0.984696387,0.983293904,62,74,76,44,52,72
824,3,69,11,7,8,9,7,6,0.979719996,0.97299161,0.967289184,38,33,38,24,22,23,0.985130405,0.98542337,0.984849257,51,59,84,52,40,38
493,2,63,20,23,17,16,17,15,0.982280091,0.984941761,0.981236858,55,37,27,30,24,19,0.986247449,0.989614372,0.985526236,48,54,42,34,50,68
372,3,34,7,21,9,7,16,7,0.985836187,0.988535801,0.991567369,47,46,38,27,29,23,0.986059868,0.987711098,0.983279385,48,60,80,54,56,48
139,3,45,5,3,5,3,3,4,0.979479886,0.975596675,0.969599756,35,21,20,23,17,15,0.985766024,0.984714118,0.986157113,52,62,76,40,44,66
